frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.705,904,652,1010,767,957,767,1280,720,true,down,31.7
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.7,1859,600,1919,899,1889,899,1280,720,true,down,19.6
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.441,1627,565,1784,757,1706,757,1280,720,true,down,47.6
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.925,1340,406,1617,803,1479,803,1280,720,true,down,12.7
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.895,1,454,720,1070,360,1070,1280,720,true,down,64.3
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.881,935,670,1157,816,1046,816,1280,720,true,down,29.0
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.841,1733,587,1842,868,1787,868,1280,720,true,down,18.0
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.736,742,665,873,772,807,772,1280,720,true,down,32.4
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.718,1637,584,1750,759,1693,759,1280,720,true,down,52.8
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.671,1858,604,1919,900,1889,900,1280,720,true,down,4.0
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.629,907,655,1014,770,960,770,1280,720,true,down,17.0
14,3.637,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.627,1191,648,1332,775,1261,775,1280,720,true,down,11.4
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.928,1339,405,1618,805,1479,805,1280,720,true,down,7.8
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.886,2,451,692,1069,347,1069,1280,720,true,down,50.9
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.849,929,672,1154,819,1042,819,1280,720,true,down,19.5
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.824,1735,586,1846,869,1791,869,1280,720,true,down,16.1
